hip,ra,dec,magnitude,B-V
151,0.4845833333333333,-41.61375,7.78,0.411
154,0.4899583333333334,-6.013972222222222,4.37,1.631
155,0.491125,46.26916666666666,9.93,0.283
156,0.49687499999999996,63.35783333333333,8.6,0.1
157,0.5003333333333333,-5.214,8.51,0.903
158,0.5004583333333333,-37.901777777777774,7.09,0.999
159,0.5107916666666666,-2.766166666666667,6.93,0.292
160,0.5117083333333333,-69.26919444444444,8.68,-0.052
161,0.5125,33.696,8.98,1.5
162,0.513375,27.11861111111111,9.84,0.696
163,0.5171250000000001,-30.685222222222222,8.98,0.107
164,0.5185833333333333,59.94,7.98,0.97
165,0.51975,-22.327472222222223,10.16,0.45
166,0.5215416666666667,-56.51488888888889,8.86,0.66
167,0.5277916666666667,39.18322222222222,8.58,0.06
168,0.5335416666666667,-2.819833333333333,9.56,1.113
169,0.5350416666666666,-68.28019444444445,9.24,1.39
170,0.5376666666666666,-20.87163888888889,9.63,0.509
171,0.5402083333333333,27.0845,5.8,0.69
172,0.542875,67.40894444444444,9.05,0.976
173,0.5495833333333333,47.577222222222225,8.45,0.248
174,0.5515833333333333,59.965333333333334,8.86,1.035
175,0.5524166666666667,49.771138888888885,7.84,0.923
176,0.5533333333333333,44.42827777777777,8.86,0.53
177,0.5602083333333333,-11.964333333333332,8.93,0.172
178,0.5677916666666667,-27.135166666666667,7.97,0.556
179,0.568875,-13.407527777777778,6.9,0.534
180,0.5709166666666666,-9.174888888888889,8.47,1.171
181,0.5738333333333333,60.70319444444445,6.77,1.832
182,0.5811666666666666,52.586444444444446,8.55,1.004
183,0.5829583333333334,-29.720444444444443,5.04,-0.15
184,0.5897916666666667,11.006333333333334,8.48,0.888
185,0.5901666666666667,10.785638888888888,8.53,0.53
186,0.6007083333333334,8.956833333333332,6.33,0.182
187,0.602125,-6.0591944444444445,8.99,0.5
188,0.6025,6.333138888888889,8.64,0.488
189,0.6052916666666667,54.13516666666666,9.55,0.237
190,0.6055416666666666,10.776638888888888,8.74,0.57
191,0.6122916666666667,-46.02883333333333,12.43,1.49
192,0.6198333333333333,8.393916666666666,8.16,1.032
193,0.621625,-39.212500000000006,9.46,0.944
194,0.624,8.485583333333333,5.7,0.315
195,0.62575,47.42297222222222,7.62,0.517
196,0.627,51.829972222222224,8.95,1.677
197,0.6323333333333333,42.14780555555556,8.97,0.952
198,0.6327083333333333,15.335194444444445,8.94,0.276
199,0.6350416666666666,16.256555555555554,7.24,0.074
200,0.6354583333333333,-33.992666666666665,10.32,0.323
201,0.6393333333333333,18.68336111111111,8.24,0.474
202,0.64175,54.552166666666665,8.62,0.303
203,0.64225,-15.831277777777778,9.18,0.981
204,0.6450833333333333,-43.947916666666664,8.53,1.274
205,0.6457083333333333,-5.186638888888889,8.54,0.384
206,0.6468333333333334,18.836,8.56,0.436
208,0.6499166666666667,-67.63427777777778,9.41,0.967
207,0.6503333333333333,66.09897222222222,5.87,1.073
209,0.6601666666666667,66.10038888888889,7.2,0.085
210,0.6621666666666667,-8.487944444444443,9.05,0.47
211,0.6631666666666667,-37.947694444444444,9.52,0.832
212,0.6634583333333333,-29.07525,10.24,0.318
213,0.666875,51.47241666666667,7.7,1.003
214,0.6691666666666667,28.542222222222225,8.17,0.29
217,0.6744166666666667,82.97322222222222,7.29,0.118
215,0.6745,75.03619444444445,9.26,1.8
216,0.6769166666666666,42.92069444444444,7.94,0.016
218,0.67975,-57.63363888888889,8.42,1.005
219,0.69025,6.0344444444444445,8.56,0.602
220,0.69175,35.81547222222222,7.52,0.18
221,0.6932083333333333,80.28225,7.74,0.483
222,0.6945,-40.98316666666667,8.85,1.113
224,0.69625,3.8604166666666666,9.01,1.01
223,0.6964166666666667,2.130388888888889,7.17,0.617
225,0.7000833333333334,-15.040527777777777,9.04,0.489
226,0.7002916666666666,-24.94525,10.3,0.254
227,0.7041666666666666,80.2865,9.86,0.442
228,0.7101666666666666,28.25188888888889,7.64,0.532
229,0.7139166666666666,47.25227777777778,8.27,0.128
230,0.7157083333333334,30.336527777777775,8.44,0.423
231,0.7234166666666666,-58.78138888888889,9.58,0.5
232,0.7300416666666667,-30.14977777777778,8.43,0.007
233,0.7319583333333334,71.35855555555555,8.49,1.18
234,0.7335833333333334,70.238,9.64,0.31
235,0.7364583333333333,71.36805555555554,9.17,1.222
236,0.7378333333333333,-0.8938333333333333,8.09,1.26
237,0.739125,-39.52733333333333,9.0,0.903
238,0.7392916666666667,-20.046083333333335,6.25,0.526
